bin_lower,bin_upper,sample_count,accuracy,avg_confidence,fraction
0.0,0.1,0,0.0,0.0,0.0
0.1,0.2,0,0.0,0.0,0.0
0.2,0.30000000000000004,1,0.0,0.2987340986728668,0.00010465724751439037
0.30000000000000004,0.4,8,0.25,0.3444451093673706,0.000837257980115123
0.4,0.5,51,0.4117647058823529,0.46190911531448364,0.005337519623233909
0.5,0.6000000000000001,102,0.4019607843137255,0.5502764582633972,0.010675039246467817
0.6000000000000001,0.7000000000000001,134,0.47761194029850745,0.6499711275100708,0.01402407116692831
0.7000000000000001,0.8,132,0.5454545454545454,0.7521752715110779,0.013814756671899528
0.8,0.9,239,0.4895397489539749,0.8579922318458557,0.0250130821559393
0.9,1.0,8888,0.9173042304230423,0.9952125549316406,0.9301936159079016
